filename, Cyst, Normal, Stone, Tumor
Normal-3409-_jpg.rf.a9bc059c9970ebe734862e707e08e66b.jpg, 0, 1, 0, 0
Cyst-2863-_jpg.rf.a9c1316358f49804b9dd52c6ebb4cfa9.jpg, 1, 0, 0, 0
Cyst-2089-_jpg.rf.a9e0dcae05d49b6b2cc8b62113f10c32.jpg, 1, 0, 0, 0
Stone-775-_jpg.rf.a9fb312cede456a9ebee8a7836a5e33c.jpg, 0, 0, 1, 0
Normal-3153-_jpg.rf.a9ea4ff2ac73172df986cf9744490263.jpg, 0, 1, 0, 0
Cyst-2388-_jpg.rf.a9bfa547502d003f07e009a8ab7a787b.jpg, 1, 0, 0, 0
Stone-300-_jpg.rf.aa01d2654f53022356fdc165afc1edd8.jpg, 0, 0, 1, 0
Cyst-678-_jpg.rf.aa06e7fdf3057b3c884d9dbfeefdb5c7.jpg, 1, 0, 0, 0
Cyst-2427-_jpg.rf.a9d5da0a365151dc4aa5d3f41a78ce2f.jpg, 1, 0, 0, 0
Cyst-2482-_jpg.rf.a9e8e2509814a435359e522566f760a7.jpg, 1, 0, 0, 0
Cyst-3438-_jpg.rf.a9cfd6e56398a7bafc0ba9bd09abc699.jpg, 1, 0, 0, 0
Cyst-3277-_jpg.rf.aa01089e3c02f22a3d076f4172f7f490.jpg, 1, 0, 0, 0
Cyst-2022-_jpg.rf.a9dfe6218cf446c8cb744548fcb91cc5.jpg, 1, 0, 0, 0
Stone-440-_jpg.rf.a9e9c3501f62b3fe888796146af151dc.jpg, 0, 0, 1, 0
Cyst-2730-_jpg.rf.a9e9630e84401237e8658428b79431f2.jpg, 1, 0, 0, 0
Normal-1469-_jpg.rf.a9c5df46d549454138164827951909b2.jpg, 0, 1, 0, 0
Cyst-217-_jpg.rf.a9c78f0906493d8fa9678d2b174ca821.jpg, 1, 0, 0, 0
Cyst-523-_jpg.rf.a9d143f705bddf9d2f933effaebf4560.jpg, 1, 0, 0, 0
Cyst-337-_jpg.rf.a9ee1677d77b43b89152405b0bed9905.jpg, 1, 0, 0, 0
Stone-193-_jpg.rf.aa0c2332dfdf785bc4d899ab9241d46f.jpg, 0, 0, 1, 0
Normal-748-_jpg.rf.aa0ce87c63eee842f7dec07b70a1de10.jpg, 0, 1, 0, 0
Cyst-2211-_jpg.rf.a9b78b65d2ea047ef54af23a06cf0c80.jpg, 1, 0, 0, 0
Stone-768-_jpg.rf.a9d13a034a49bbc2fda060373041f37a.jpg, 0, 0, 1, 0
Tumor-672-_jpg.rf.a9e5dff77312025a814dbd3f92fe859b.jpg, 0, 0, 0, 1
Tumor-1690-_jpg.rf.a9e9413f7660c27a8380453aee3138f1.jpg, 0, 0, 0, 1
Normal-3254-_jpg.rf.aa12060d74dab476b3770545759e4ff9.jpg, 0, 1, 0, 0
Normal-5019-_jpg.rf.aa10c85f3630993fdeb8038bf0c10e09.jpg, 0, 1, 0, 0
Tumor-1731-_jpg.rf.a9ef47f77106d33a7643639c63e8c9af.jpg, 0, 0, 0, 1
Tumor-678-_jpg.rf.a9fb4c9d639c4406968f196efc2b2089.jpg, 0, 0, 0, 1
Cyst-1473-_jpg.rf.aa173d074edc211febe82a3c33cebc55.jpg, 1, 0, 0, 0
Cyst-426-_jpg.rf.aa20ff907e05ce89bcc52faf18fdef79.jpg, 1, 0, 0, 0
Tumor-1817-_jpg.rf.aa1b8e339831fda0d4a923bfc2283b72.jpg, 0, 0, 0, 1
Tumor-99-_jpg.rf.aa19e6c0ff807e71db78fb64997a52aa.jpg, 0, 0, 0, 1
Stone-817-_jpg.rf.aa278fbdf479b0f0bd592074b95314d1.jpg, 0, 0, 1, 0
Cyst-2362-_jpg.rf.aa2dbc7d1f1805fa786740016dfd4297.jpg, 1, 0, 0, 0
Normal-1906-_jpg.rf.aa26bc27d9868a6f3b741251fd4a205f.jpg, 0, 1, 0, 0
Stone-603-_jpg.rf.aa35b47c11e710af53bf0c903d646d8d.jpg, 0, 0, 1, 0
Tumor-1231-_jpg.rf.aa4537b96525647f39fb484f1d7ff949.jpg, 0, 0, 0, 1
Cyst-422-_jpg.rf.aa4a1955964a4248b4b7083532b3b58b.jpg, 1, 0, 0, 0
Stone-997-_jpg.rf.aa4ce8891fc680ba5427cea8db97f696.jpg, 0, 0, 1, 0
Cyst-2900-_jpg.rf.aa53be70c423f68550f448e92a2bcde3.jpg, 1, 0, 0, 0
Normal-283-_jpg.rf.aa5bd808e2793922ddf9cb2e8bf96759.jpg, 0, 1, 0, 0
Cyst-131-_jpg.rf.aa577be47cb3588cc647bba2614a7850.jpg, 1, 0, 0, 0
Normal-2236-_jpg.rf.aa5e7495710ee5fc50e80ec439b04113.jpg, 0, 1, 0, 0
Cyst-1372-_jpg.rf.aa658803ddf6eb67e87eb0d984cab073.jpg, 1, 0, 0, 0
Tumor-71-_jpg.rf.aa6c91586be6f12415e7aa08239bde44.jpg, 0, 0, 0, 1
Normal-2346-_jpg.rf.aa5e35d3d1ffb14da31417fb1db86db1.jpg, 0, 1, 0, 0
Normal-3445-_jpg.rf.aa6cab5c5b5d42a157a3bb722fd114b9.jpg, 0, 1, 0, 0
Stone-1141-_jpg.rf.aa6442ee933c995bb485960b5d8b4983.jpg, 0, 0, 1, 0
Tumor-473-_jpg.rf.aa7545c223289cd831a5eb5160929409.jpg, 0, 0, 0, 1
Cyst-3190-_jpg.rf.aa76f27d49021c73210fdc29d4c383c0.jpg, 1, 0, 0, 0
Cyst-1159-_jpg.rf.aa706298394eccdb072821d86ef7691b.jpg, 1, 0, 0, 0
Normal-4822-_jpg.rf.aa77ccc2402f143a7bc34d868c46b590.jpg, 0, 1, 0, 0
Cyst-1894-_jpg.rf.aa7cf3f16176e166c3637bc099f66c27.jpg, 1, 0, 0, 0
Tumor-484-_jpg.rf.aa7cc22f34079fef6afa35573679d91c.jpg, 0, 0, 0, 1
Stone-712-_jpg.rf.aa88bcbc1af9d34db3df929a5418348e.jpg, 0, 0, 1, 0
Cyst-940-_jpg.rf.aa7af8580276bc6233d3b3878ef2e8a7.jpg, 1, 0, 0, 0
Normal-4648-_jpg.rf.aa8c4c6211dbb95c5f45ef447d8f692f.jpg, 0, 1, 0, 0
Normal-1475-_jpg.rf.aa8bb4ac161eb3d82d7ed3b870216eef.jpg, 0, 1, 0, 0
Tumor-75-_jpg.rf.aa949cbb6521435880c3d1c9bdc8bd1a.jpg, 0, 0, 0, 1
Tumor-1731-_jpg.rf.aa9512a0945bfc237a8997616071416b.jpg, 0, 0, 0, 1
Cyst-1929-_jpg.rf.aa9941f3452ca0560b0d3d5922dd1b7c.jpg, 1, 0, 0, 0
Tumor-1490-_jpg.rf.aa9f9b6e63fed306c836344b93ef7139.jpg, 0, 0, 0, 1
Cyst-3693-_jpg.rf.aa9f45dfa2eed43ec78b1eacacf01063.jpg, 1, 0, 0, 0
Normal-3594-_jpg.rf.aa9ea17776753bdf5a33c29f224d7ea4.jpg, 0, 1, 0, 0
Cyst-3649-_jpg.rf.aab8009cb9ed407af63f4943213b89b8.jpg, 1, 0, 0, 0
Cyst-1295-_jpg.rf.aaa58b72b5b99a26315551735a091461.jpg, 1, 0, 0, 0
Cyst-1529-_jpg.rf.aaaed994c4d4ed1af5095f297e3d67ee.jpg, 1, 0, 0, 0
Normal-347-_jpg.rf.aaa96561f8f3ee58edbdbdfde24a49bd.jpg, 0, 1, 0, 0
Stone-949-_jpg.rf.aabe791fa8ab73a67e28beb607d151f5.jpg, 0, 0, 1, 0
Cyst-361-_jpg.rf.aacde4e002ca0baac189fa5afd062baf.jpg, 1, 0, 0, 0
Stone-814-_jpg.rf.aac167312e6536479089e7cec772e43a.jpg, 0, 0, 1, 0
Normal-660-_jpg.rf.aac19aafaeef21c264bed1522b4f0b57.jpg, 0, 1, 0, 0
Cyst-836-_jpg.rf.aad0191ea3596f6f30707e8400de210d.jpg, 1, 0, 0, 0
Normal-2199-_jpg.rf.aad227bf382925805fdc7c758b504904.jpg, 0, 1, 0, 0
Normal-3119-_jpg.rf.aadf5467ea2804e7ab6c7c0ac933127b.jpg, 0, 1, 0, 0
Normal-2848-_jpg.rf.aad23d600934d48c54c5184294478b61.jpg, 0, 1, 0, 0
Normal-2509-_jpg.rf.aad76c677ee396e6a19aaf3f779ef9b2.jpg, 0, 1, 0, 0
Normal-1101-_jpg.rf.aad2c71a762be598443f7fd07a3462c8.jpg, 0, 1, 0, 0
Cyst-1223-_jpg.rf.aae5ff9aaffa240fd47aaec8030f9594.jpg, 1, 0, 0, 0
Normal-763-_jpg.rf.aadcdff624bafc0e44f0b76ec3ccfb89.jpg, 0, 1, 0, 0
Normal-3235-_jpg.rf.aae6b32716453f1dbbd82d94bb45a931.jpg, 0, 1, 0, 0
Cyst-1943-_jpg.rf.aaf2299bdda0e85be71a33d1127c983d.jpg, 1, 0, 0, 0
Normal-2304-_jpg.rf.aaee56f5e3f675ebd48ae3032fc3f200.jpg, 0, 1, 0, 0
Normal-2014-_jpg.rf.aaf2c75c700bd2cb4f338c286ed42ef0.jpg, 0, 1, 0, 0
Tumor-728-_jpg.rf.aaf58f32d8626f084ccef73fa13a6dd4.jpg, 0, 0, 0, 1
Tumor-1357-_jpg.rf.aaf394a3a06581860cc06b1c296a3b92.jpg, 0, 0, 0, 1
Normal-4758-_jpg.rf.aaf35b39ee6565793f1d032908c86727.jpg, 0, 1, 0, 0
Normal-2641-_jpg.rf.aaf5c2ba014949d9057daa5901e630eb.jpg, 0, 1, 0, 0
Normal-1359-_jpg.rf.aaf8cb3183b3cf4af842a6104f516b2f.jpg, 0, 1, 0, 0
Normal-3260-_jpg.rf.aaff8a8508ab81d7ab8537299c255871.jpg, 0, 1, 0, 0
Tumor-1968-_jpg.rf.aafd671352343eb2dcc371099d0776cf.jpg, 0, 0, 0, 1
Tumor-1197-_jpg.rf.aafcc895271b785272a1e98785b2fbd2.jpg, 0, 0, 0, 1
Tumor-1384-_jpg.rf.ab027f30678a8e20b7b76cf52464510d.jpg, 0, 0, 0, 1
Normal-183-_jpg.rf.ab0b7fc65e5862060cf5075089b1ed5e.jpg, 0, 1, 0, 0
Tumor-468-_jpg.rf.ab051d0adcfa9aeeb68481429a9b77af.jpg, 0, 0, 0, 1
Cyst-2219-_jpg.rf.ab08cbcaccc0012f873d5be71ec634f8.jpg, 1, 0, 0, 0
Tumor-1985-_jpg.rf.ab0c2c8f1a4fd277d38b3562dbabb2bf.jpg, 0, 0, 0, 1
Normal-144-_jpg.rf.ab0bf24a3fe30745bb9ae717ebdcc75e.jpg, 0, 1, 0, 0
Cyst-1401-_jpg.rf.ab0c6912d7de30594d7207efb35fb863.jpg, 1, 0, 0, 0
Cyst-2211-_jpg.rf.ab0d039f3fd3e560ff08dc3c100c92ce.jpg, 1, 0, 0, 0
Tumor-3-_jpg.rf.ab170caa0b3a78c682a3e46e0bfff65c.jpg, 0, 0, 0, 1
Cyst-1972-_jpg.rf.ab174f2bbe0b13f0e1dcccfe19f4d17c.jpg, 1, 0, 0, 0
Normal-1955-_jpg.rf.ab19019ed48fabc5e7b42d83993724d3.jpg, 0, 1, 0, 0
Cyst-2628-_jpg.rf.ab201284b3439e447f5bb7bb52f01d66.jpg, 1, 0, 0, 0
Cyst-3658-_jpg.rf.ab2044ac7f0f766b40fd5bb99a5d661f.jpg, 1, 0, 0, 0
Normal-4332-_jpg.rf.ab253f82777e022b22b1d915e2b3f235.jpg, 0, 1, 0, 0
Normal-2230-_jpg.rf.ab27fbe79d6a400f8ba404528b2dcc25.jpg, 0, 1, 0, 0
